"subject","y.brand","x.brand","pos_num.brand","manip_ok.brand","y.pop","x.pop","pos_num.pop","manip_ok.pop","y.rep","x.rep","pos_num.rep","manip_ok.rep","inv_app","inv_dl","inv_cat","manip_ok_all"
8216,5,1,2,1,3,0,1,1,5,1,3,0,1.004801097,-1.026639344,0.519791667,2
8217,7,0,2,1,7,1,1,1,7,1,3,0,1.671467764,0.306693989,1.019791667,2
8219,4,1,3,0,4,1,2,0,5,0,1,1,-0.995198903,-1.026639344,-0.105208333,1
8220,5,0,1,1,5,0,3,0,6,1,2,1,1.338134431,0.306693989,2.144791667,2
8221,3,1,2,0,5,0,3,0,2,1,1,1,-5.328532236,-0.026639344,-1.480208333,1
8222,4,0,2,1,6,1,1,1,4,1,3,0,0.671467764,0.640027322,0.269791667,2
8223,3,1,1,1,3,1,3,1,6,1,2,1,0.004801097,-1.026639344,-0.230208333,3
8224,1,0,1,1,1,0,3,0,1,0,2,0,-0.661865569,1.306693989,1.894791667,1
8225,5,0,2,1,7,0,1,0,6,1,3,1,-1.328532236,-2.693306011,0.519791667,2
8226,6,1,2,1,5,1,1,1,2,0,3,1,0.671467764,0.640027322,0.144791667,3
8227,6,1,3,1,4,0,2,1,3,0,1,1,0.671467764,-2.359972678,-1.605208333,3
8228,3,0,2,1,4,1,3,0,6,1,1,1,-1.328532236,1.973360656,0.769791667,2
8229,7,1,2,1,5,0,1,1,5,1,3,1,0.004801097,-1.359972678,-1.105208333,3
8230,3,0,3,1,5,1,2,0,5,1,1,1,1.004801097,0.640027322,1.019791667,2
8231,2,0,1,1,2,0,3,1,2,1,2,1,0.004801097,-0.026639344,0.019791667,3
8232,5,0,2,0,3,0,1,1,2,0,3,1,-1.661865569,-0.359972678,0.769791667,2
8233,7,1,3,1,5,0,1,0,4,0,2,0,1.671467764,0.306693989,0.269791667,1
8234,3,1,1,1,4,1,3,0,3,0,2,0,1.671467764,2.306693989,-1.480208333,1
8236,6,1,3,1,4,0,2,1,4,0,1,0,1.004801097,-1.693306011,-0.730208333,2
8237,1,0,2,1,3,1,1,1,1,0,3,1,0.338134431,-1.026639344,0.269791667,3
8238,5,0,2,1,4,1,3,0,5,1,1,0,-0.661865569,0.306693989,-0.355208333,1
8239,5,0,3,1,4,0,1,0,4,0,2,0,1.004801097,0.973360656,1.269791667,1
8240,5,1,2,1,5,1,3,0,5,1,1,1,0.338134431,2.306693989,0.144791667,2
8241,4,0,2,1,6,1,1,1,3,0,3,1,-0.661865569,-0.359972678,-4.480208333,3
8243,4,0,3,1,7,1,1,0,7,0,2,1,-2.328532236,1.306693989,0.394791667,2
8244,6,1,1,0,6,1,3,1,5,1,2,1,-1.328532236,-0.026639344,-0.980208333,2
8245,6,1,3,0,3,1,2,1,4,1,1,0,-0.995198903,-1.359972678,0.144791667,1
8246,7,1,2,1,7,0,3,1,7,1,1,1,1.004801097,0.640027322,-4.480208333,3
8247,6,0,1,1,7,0,3,0,5,1,2,1,1.338134431,1.306693989,0.894791667,2
8248,6,1,3,0,5,1,1,1,1,0,2,1,1.671467764,1.640027322,2.394791667,2
8249,7,1,2,1,4,0,1,1,7,0,3,0,-0.661865569,-0.359972678,1.144791667,2
8250,7,1,2,1,4,1,3,1,6,0,1,0,0.338134431,-2.359972678,-0.355208333,2
8251,3,0,2,1,3,1,1,1,2,0,3,1,1.004801097,-2.026639344,-0.855208333,3
8252,4,1,3,1,4,1,2,0,4,1,1,1,-1.328532236,1.306693989,-0.605208333,2
8253,5,1,3,0,6,1,1,1,6,0,2,0,-2.328532236,-0.026639344,0.019791667,1
8254,2,0,1,1,3,1,2,1,2,1,3,1,1.338134431,-0.359972678,-3.105208333,3
8255,5,1,1,0,6,1,3,1,5,0,2,1,-0.328532236,-0.026639344,0.144791667,2
8256,4,1,2,1,4,0,1,0,7,0,3,0,-1.661865569,-0.693306011,-0.480208333,1
8257,6,1,3,1,6,1,1,1,4,0,2,0,0.004801097,0.973360656,1.019791667,2
8259,4,0,3,1,5,1,2,1,2,0,1,0,0.338134431,1.973360656,-1.355208333,2
