"subject","focal","position","pos_num","x","x_lab","y","y_mc","manip_ok","comp","inv_app","inv_dl","inv_cat","x_brand","x_pop","x_rep","x_other_brand","x_other_rep","x_other_pop"
8005,"pop","second",2,0,"low",5,0.474541752,0,1,0.338134431,-0.693306011,0.769791667,0,0,0,0,0,NA
8005,"rep","third",3,0,"low",2,-2.046843177,0,1,0.338134431,-0.693306011,0.769791667,0,0,0,0,NA,0
8006,"brand","first",1,1,"high",4,-0.967413442,0,0,-2.328532236,1.306693989,0.769791667,1,0,0,NA,0,0
8006,"rep","second",2,0,"low",4,-0.046843177,1,1,-2.328532236,1.306693989,0.769791667,1,0,0,1,NA,0
8006,"pop","third",3,0,"low",4,-0.525458248,0,1,-2.328532236,1.306693989,0.769791667,1,0,0,1,0,NA
8007,"pop","first",1,1,"high",7,2.474541752,0,0,-0.995198903,0.640027322,-0.105208333,0,1,1,0,1,NA
8007,"brand","second",2,0,"low",5,0.032586558,1,1,-0.995198903,0.640027322,-0.105208333,0,1,1,NA,1,1
8007,"rep","third",3,1,"high",4,-0.046843177,0,1,-0.995198903,0.640027322,-0.105208333,0,1,1,0,NA,1
8008,"rep","first",1,0,"low",6,1.953156823,0,0,1.338134431,2.306693989,-1.980208333,0,0,0,0,NA,0
8008,"pop","second",2,0,"low",6,1.474541752,0,1,1.338134431,2.306693989,-1.980208333,0,0,0,0,0,NA
8008,"brand","third",3,0,"low",2,-2.967413442,0,1,1.338134431,2.306693989,-1.980208333,0,0,0,NA,0,0
8010,"rep","first",1,1,"high",4,-0.046843177,0,0,-0.661865569,-1.359972678,-0.480208333,0,1,1,0,NA,1
8010,"pop","second",2,1,"high",5,0.474541752,1,1,-0.661865569,-1.359972678,-0.480208333,0,1,1,0,1,NA
8010,"brand","third",3,0,"low",3,-1.967413442,0,1,-0.661865569,-1.359972678,-0.480208333,0,1,1,NA,1,1
8011,"pop","first",1,1,"high",7,2.474541752,0,0,-0.328532236,2.306693989,-1.230208333,0,1,1,0,1,NA
8011,"rep","second",2,1,"high",7,2.953156823,1,1,-0.328532236,2.306693989,-1.230208333,0,1,1,0,NA,1
8011,"brand","third",3,0,"low",7,2.032586558,0,1,-0.328532236,2.306693989,-1.230208333,0,1,1,NA,1,1
8012,"pop","first",1,1,"high",7,2.474541752,0,0,-0.328532236,2.306693989,-1.230208333,0,1,0,0,0,NA
8012,"rep","second",2,0,"low",7,2.953156823,0,1,-0.328532236,2.306693989,-1.230208333,0,1,0,0,NA,1
8012,"brand","third",3,0,"low",7,2.032586558,1,1,-0.328532236,2.306693989,-1.230208333,0,1,0,NA,0,1
8013,"brand","first",1,0,"low",7,2.032586558,1,0,-0.328532236,2.306693989,-1.230208333,0,0,0,NA,0,0
