"model","term","estimate","se","statistic","p_value","n","r2","adj_r2","sig"
"M2_brand","inv_cat_mc",0.287315124908097,0.173766762212123,1.65345271587302,0.100479398471884,152,0.153344414588348,0.0868214757345757,""
"M2_brand","x_brand:x_rep",0.25101267257724,0.507205284780281,0.494893645845938,0.621450980359933,152,0.153344414588348,0.0868214757345757,""
"M2_brand","x_brand:x_pop",-0.67655275922787,0.511096912069673,-1.32372695520344,0.18775117080988,152,0.153344414588348,0.0868214757345757,""
"M2_brand","x_brand:inv_app_mc",0.540929160108288,0.260608023659266,2.07564276998443,0.0397565927805855,152,0.153344414588348,0.0868214757345757,"**"
"M2_brand","x_brand:inv_dl_mc",-0.0715117503189535,0.19377588137641,-0.369043607548051,0.71265275595747,152,0.153344414588348,0.0868214757345757,""
"M2_brand","x_brand:inv_cat_mc",0.00663504587982686,0.253131517614851,0.0262118520141073,0.97912568823095,152,0.153344414588348,0.0868214757345757,""
"M3_rep","(Intercept)",3.90609532895148,0.190949057714827,20.456216834466,2.23565479120561e-67,491,0.0980002401487207,0.0811229057648091,"***"
"M3_rep","x_rep",0.457599119666571,0.268971450134446,1.70129253286116,0.0895343340752225,491,0.0980002401487207,0.0811229057648091,"*"
"M3_rep","inv_app_mc",-0.0287408873535835,0.0991684693084041,-0.289818805856549,0.772079750400271,491,0.0980002401487207,0.0811229057648091,""
"M3_rep","inv_dl_mc",0.0084576549431199,0.08033377186667,0.105281437017013,0.916196380969927,491,0.0980002401487207,0.0811229057648091,""
"M3_rep","inv_cat_mc",0.106364274978871,0.0994357055354396,1.06967888854534,0.285300358404483,491,0.0980002401487207,0.0811229057648091,""
"M3_rep","comp_rep",-0.353853943367524,0.227151793107627,-1.55778626497509,0.119941610171824,491,0.0980002401487207,0.0811229057648091,""
"M3_rep","x_rep:inv_app_mc",0.278237569574881,0.146580877537771,1.89818463532656,0.0582701069507525,491,0.0980002401487207,0.0811229057648091,"*"
"M3_rep","x_rep:inv_dl_mc",-0.00434362941246615,0.116336359565955,-0.0373368173860006,0.970231940271296,491,0.0980002401487207,0.0811229057648091,""
"M3_rep","x_rep:inv_cat_mc",0.200011397233514,0.142550866521994,1.4030879089932,0.161235797227162,491,0.0980002401487207,0.0811229057648091,""
"M3_rep","x_rep:comp_rep",0.51001299148976,0.322484246701246,1.581512885379,0.114418115975915,491,0.0980002401487207,0.0811229057648091,""
"M3_pop","(Intercept)",4.64268600873837,0.154545307127735,30.040938123738,2.02539171502502e-112,491,0.105583919984744,0.088848483976143,"***"
"M3_pop","x_pop",0.367730518894325,0.218383474257872,1.68387521145533,0.0928545745731035,491,0.105583919984744,0.088848483976143,"*"
"M3_pop","inv_app_mc",0.101919018433685,0.0944566691502091,1.0790028840802,0.281127215338672,491,0.105583919984744,0.088848483976143,""
"M3_pop","inv_dl_mc",-0.162959767754623,0.0762656950767658,-2.13673746224425,0.0331232551075426,491,0.105583919984744,0.088848483976143,"**"
"M3_pop","inv_cat_mc",0.290477244358736,0.0924658460682259,3.14145445816186,0.00178473295837718,491,0.105583919984744,0.088848483976143,"***"
"M3_pop","comp_pop",-0.282590560896958,0.197051710973448,-1.43409341386047,0.152195373559004,491,0.105583919984744,0.088848483976143,""
"M3_pop","x_pop:inv_app_mc",0.297183191903738,0.133562795112249,2.22504471888282,0.026541285531013,491,0.105583919984744,0.088848483976143,"**"
"M3_pop","x_pop:inv_dl_mc",0.00806008570182764,0.106565147416997,0.0756352888087132,0.939740707584578,491,0.105583919984744,0.088848483976143,""
"M3_pop","x_pop:inv_cat_mc",-0.111385592840649,0.130354889178613,-0.854479594455621,0.393264683390465,491,0.105583919984744,0.088848483976143,""
"M3_pop","x_pop:comp_pop",-0.398365251032873,0.278461738479631,-1.43059241534547,0.153196361950928,491,0.105583919984744,0.088848483976143,""
"M3_brand","(Intercept)",4.11805080888513,0.178167208081,23.1134048360512,4.74733325880829e-80,491,0.155523571083663,0.139722556821196,"***"
"M3_brand","x_brand",1.50281893729599,0.240947673811179,6.23711743518922,9.77191743163476e-10,491,0.155523571083663,0.139722556821196,"***"
"M3_brand","inv_app_mc",0.0830302852745428,0.0935845675307024,0.887221979706248,0.37540279983416,491,0.155523571083663,0.139722556821196,""
"M3_brand","inv_dl_mc",-0.00456167084907067,0.0777513649567022,-0.0586699777117862,0.953239338342394,491,0.155523571083663,0.139722556821196,""
"M3_brand","inv_cat_mc",0.0670971694689351,0.0893943849214749,0.750574765158617,0.453275620566712,491,0.155523571083663,0.139722556821196,""
"M3_brand","comp_brand",0.473582782187642,0.211797075891181,2.23602134351923,0.0258082271429307,491,0.155523571083663,0.139722556821196,"**"
"M3_brand","x_brand:inv_app_mc",0.214754898664161,0.131851655193113,1.62876149222112,0.10401825388562,491,0.155523571083663,0.139722556821196,""
"M3_brand","x_brand:inv_dl_mc",-0.174236543080209,0.105738338986733,-1.64780858816092,0.100044989450464,491,0.155523571083663,0.139722556821196,""
"M3_brand","x_brand:inv_cat_mc",0.158655325053105,0.128398616407502,1.2356466875747,0.217193059826063,491,0.155523571083663,0.139722556821196,""
"M3_brand","x_brand:comp_brand",-0.745391050858307,0.289854069805729,-2.57160802109108,0.0104220056076349,491,0.155523571083663,0.139722556821196,"**"
