lfdn,inv_app,inv_dl,inv_cat,y_rep_3,x_rep,man_check_rep,y_pop_1e2,x_pop,y_brand_1e2,x_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_pop,ITD_brand,ITD_pop_2,ITD_brand_2
8283,4.666666667,3.666666667,3.375,4,1,1,4,1,4,0,-0.661865569,-1.026639344,-1.105208333,0,0,-0.525458248,-0.967413442
8291,7,7,4,2,0,1,5,0,4,0,1.671467764,2.306693989,-0.480208333,1,0,0.474541752,-0.967413442
8295,5.666666667,6,2.375,1,0,0,2,0,1,0,0.338134431,1.306693989,-2.105208333,0,0,-2.525458248,-3.967413442
8300,4.666666667,3.666666667,6.25,2,0,1,5,1,7,1,-0.661865569,-1.026639344,1.769791667,1,1,0.474541752,2.032586558
8301,4,5,4,1,0,1,2,1,3,0,-1.328532236,0.306693989,-0.480208333,0,0,-2.525458248,-1.967413442
8305,4.666666667,3,2.75,4,1,0,5,0,4,0,-0.661865569,-1.693306011,-1.730208333,1,0,0.474541752,-0.967413442
8307,5,5.333333333,5.5,4,1,1,4,1,6,1,-0.328532236,0.640027322,1.019791667,0,1,-0.525458248,1.032586558
8309,5.666666667,6.333333333,6.5,6,1,1,5,0,6,1,0.338134431,1.640027322,2.019791667,1,1,0.474541752,1.032586558
8312,5.666666667,5.666666667,5.625,4,1,0,5,0,5,1,0.338134431,0.973360656,1.144791667,1,1,0.474541752,0.032586558
8316,2.333333333,2,5,1,0,1,5,1,1,0,-2.995198903,-2.693306011,0.519791667,1,0,0.474541752,-3.967413442
8319,3.666666667,5.333333333,4.5,5,1,1,4,0,4,1,-1.661865569,0.640027322,0.019791667,0,0,-0.525458248,-0.967413442
8320,6.666666667,5.666666667,6.5,4,1,0,6,1,5,0,1.338134431,0.973360656,2.019791667,1,1,1.474541752,0.032586558
8321,7,5.666666667,4.375,6,1,1,6,1,6,0,1.671467764,0.973360656,-0.105208333,1,1,1.474541752,1.032586558
8323,6.666666667,6,5.625,6,1,1,7,0,6,1,1.338134431,1.306693989,1.144791667,1,1,2.474541752,1.032586558
8327,5.333333333,5.666666667,5,4,1,1,4,1,4,0,0.004801097,0.973360656,0.519791667,0,0,-0.525458248,-0.967413442
8328,3.333333333,4.333333333,4.625,3,0,1,7,1,6,1,-1.995198903,-0.359972678,0.144791667,1,1,2.474541752,1.032586558
8329,4.666666667,5.333333333,4.875,4,0,1,4,0,6,1,-0.661865569,0.640027322,0.394791667,0,1,-0.525458248,1.032586558
8330,5,5,4.125,5,1,1,5,0,5,1,-0.328532236,0.306693989,-0.355208333,1,1,0.474541752,0.032586558
8334,3.666666667,6.333333333,2.625,4,1,1,4,1,4,1,-1.661865569,1.640027322,-1.855208333,0,0,-0.525458248,-0.967413442
8337,4.333333333,4,3.125,4,0,1,4,1,4,1,-0.995198903,-0.693306011,-1.355208333,0,0,-0.525458248,-0.967413442
8348,4,6,4.125,1,1,0,1,1,1,0,-1.328532236,1.306693989,-0.355208333,0,0,-3.525458248,-3.967413442
8349,2.333333333,6.333333333,2.5,2,0,1,2,0,3,1,-2.995198903,1.640027322,-1.980208333,0,0,-2.525458248,-1.967413442
8353,5.333333333,5,3.875,5,0,1,6,0,7,0,0.004801097,0.306693989,-0.605208333,1,1,1.474541752,2.032586558
8356,4.666666667,2.666666667,4.25,5,0,1,5,0,5,1,-0.661865569,-2.026639344,-0.230208333,1,1,0.474541752,0.032586558
8360,5.333333333,3.666666667,4.125,5,1,1,6,0,5,0,0.004801097,-1.026639344,-0.355208333,1,1,1.474541752,0.032586558
8362,5.333333333,3.333333333,5,5,1,1,5,0,5,0,0.004801097,-1.359972678,0.519791667,1,1,0.474541752,0.032586558
8363,5,5,3.75,7,0,1,7,1,7,1,-0.328532236,0.306693989,-0.730208333,1,1,2.474541752,2.032586558
8367,7,7,7,7,1,1,7,1,7,1,1.671467764,2.306693989,2.519791667,1,1,2.474541752,2.032586558
8371,6.333333333,4,4.125,4,1,1,6,0,6,1,1.004801097,-0.693306011,-0.355208333,1,1,1.474541752,1.032586558
8372,6.666666667,6.666666667,3,5,0,1,6,0,6,0,1.338134431,1.973360656,-1.480208333,1,1,1.474541752,1.032586558
8374,4.666666667,3,3.75,4,0,1,7,0,4,1,-0.661865569,-1.693306011,-0.730208333,1,0,2.474541752,-0.967413442
8376,5,4.693306011,6.375,5,1,1,4,0,5,0,-0.328532236,7.10E-11,1.894791667,0,1,-0.525458248,0.032586558
8378,5,6,6.125,6,1,1,6,1,6,1,-0.328532236,1.306693989,1.644791667,1,1,1.474541752,1.032586558
8379,6,5.666666667,5.5,6,0,1,7,1,6,1,0.671467764,0.973360656,1.019791667,1,1,2.474541752,1.032586558
8381,4.333333333,5,5,5,1,1,4,0,5,0,-0.995198903,0.306693989,0.519791667,0,1,-0.525458248,0.032586558
8382,6,4,3.875,6,1,0,4,0,5,1,0.671467764,-0.693306011,-0.605208333,0,1,-0.525458248,0.032586558
8383,5.333333333,4.666666667,5,6,1,1,6,0,7,0,0.004801097,-0.026639344,0.519791667,1,1,1.474541752,2.032586558
8384,7,7,6.625,6,1,1,7,0,7,0,1.671467764,2.306693989,2.144791667,1,1,2.474541752,2.032586558
8387,4.666666667,6,2.875,4,1,1,4,0,6,1,-0.661865569,1.306693989,-1.605208333,0,1,-0.525458248,1.032586558
8391,4.333333333,3,3.875,4,0,0,4,0,4,1,-0.995198903,-1.693306011,-0.605208333,0,0,-0.525458248,-0.967413442
8390,6.333333333,2.666666667,5,7,1,1,6,0,7,1,1.004801097,-2.026639344,0.519791667,1,1,1.474541752,2.032586558
8393,5,5.333333333,5.125,4,1,1,5,1,4,1,-0.328532236,0.640027322,0.644791667,1,0,0.474541752,-0.967413442
8396,5,5,4.5,6,1,1,3,0,5,1,-0.328532236,0.306693989,0.019791667,0,1,-1.525458248,0.032586558
8397,7,5,4,7,1,1,7,0,7,0,1.671467764,0.306693989,-0.480208333,1,1,2.474541752,2.032586558
8399,4.333333333,4.693306011,4.125,6,1,1,6,0,6,0,-0.995198903,7.10E-11,-0.355208333,1,1,1.474541752,1.032586558
8401,4,7,2.125,1,0,0,1,0,1,1,-1.328532236,2.306693989,-2.355208333,0,0,-3.525458248,-3.967413442
8402,6,6,5.625,1,1,0,5,1,2,0,0.671467764,1.306693989,1.144791667,1,0,0.474541752,-2.967413442
8405,5.333333333,4.333333333,5.875,6,0,1,7,1,6,1,0.004801097,-0.359972678,1.394791667,1,1,2.474541752,1.032586558
8406,6.666666667,5.666666667,4.25,2,0,1,4,0,5,1,1.338134431,0.973360656,-0.230208333,0,1,-0.525458248,0.032586558
8412,6,5.333333333,5.5,7,1,1,7,0,7,1,0.671467764,0.640027322,1.019791667,1,1,2.474541752,2.032586558
8421,2.666666667,5.333333333,4.625,6,1,1,6,0,5,0,-2.661865569,0.640027322,0.144791667,1,1,1.474541752,0.032586558
8431,5,5.333333333,6.625,3,0,1,5,1,5,0,-0.328532236,0.640027322,2.144791667,1,1,0.474541752,0.032586558
8433,6,6,3.375,3,0,1,6,0,6,1,0.671467764,1.306693989,-1.105208333,1,1,1.474541752,1.032586558
8434,4,1,3.5,5,1,1,3,1,6,1,-1.328532236,-3.693306011,-0.980208333,0,1,-1.525458248,1.032586558
8435,5.333333333,2.666666667,4.75,6,1,1,7,1,7,1,0.004801097,-2.026639344,0.269791667,1,1,2.474541752,2.032586558
8437,7,5,4.75,4,0,1,6,0,6,0,1.671467764,0.306693989,0.269791667,1,1,1.474541752,1.032586558
8438,6,5,5.125,4,1,1,4,1,6,1,0.671467764,0.306693989,0.644791667,0,1,-0.525458248,1.032586558
8443,6.666666667,7,6.5,2,0,1,6,1,1,0,1.338134431,2.306693989,2.019791667,1,0,1.474541752,-3.967413442
8445,6.666666667,3,3.25,4,0,0,4,0,6,1,1.338134431,-1.693306011,-1.230208333,0,1,-0.525458248,1.032586558
8446,3.666666667,3,3.5,5,0,1,6,1,6,0,-1.661865569,-1.693306011,-0.980208333,1,1,1.474541752,1.032586558
8447,4.666666667,5,5.25,2,0,1,1,0,5,1,-0.661865569,0.306693989,0.769791667,0,1,-3.525458248,0.032586558
8449,5.333333333,6.666666667,4.75,7,1,1,6,0,6,0,0.004801097,1.973360656,0.269791667,1,1,1.474541752,1.032586558
8462,4,4.666666667,4.75,5,1,1,5,0,6,1,-1.328532236,-0.026639344,0.269791667,1,1,0.474541752,1.032586558
8463,5.666666667,4.666666667,5.875,3,0,1,3,1,3,0,0.338134431,-0.026639344,1.394791667,0,0,-1.525458248,-1.967413442
8472,5.333333333,3.333333333,4.25,2,1,1,4,1,3,0,0.004801097,-1.359972678,-0.230208333,0,0,-0.525458248,-1.967413442
8474,5.666666667,5.333333333,3.375,3,1,1,5,1,2,0,0.338134431,0.640027322,-1.105208333,1,0,0.474541752,-2.967413442
8475,6,2,4.125,4,0,1,4,1,4,0,0.671467764,-2.693306011,-0.355208333,0,0,-0.525458248,-0.967413442
8476,5,5.666666667,4,3,0,1,5,0,4,1,-0.328532236,0.973360656,-0.480208333,1,0,0.474541752,-0.967413442
8484,6,4,4.25,2,0,1,6,1,6,1,0.671467764,-0.693306011,-0.230208333,1,1,1.474541752,1.032586558
8485,5,6,4.25,5,0,1,4,0,5,1,-0.328532236,1.306693989,-0.230208333,0,1,-0.525458248,0.032586558
8487,5.333333333,5.333333333,4.75,4,0,1,4,0,4,0,0.004801097,0.640027322,0.269791667,0,0,-0.525458248,-0.967413442
8488,6.333333333,7,4.375,4,0,0,4,0,4,1,1.004801097,2.306693989,-0.105208333,0,0,-0.525458248,-0.967413442
8489,5.333333333,6.666666667,4.875,6,0,1,6,1,6,0,0.004801097,1.973360656,0.394791667,1,1,1.474541752,1.032586558
8490,5.333333333,5.666666667,4.75,2,0,1,5,1,6,0,0.004801097,0.973360656,0.269791667,1,1,0.474541752,1.032586558
8491,4,2.333333333,5.5,6,1,0,5,1,2,0,-1.328532236,-2.359972678,1.019791667,1,0,0.474541752,-2.967413442
