lfdn,inv_app,inv_dl,inv_cat,y_pop,x_pop,comp_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
8195,4.666666667,6,5.5,5,0,1,1,-0.661865569,1.306693989,1.019791667
8196,4.666666667,3.333333333,4.25,2,1,1,1,-0.661865569,-1.359972678,-0.230208333
8198,5.666666667,5,4.625,6,0,0,1,0.338134431,0.306693989,0.144791667
8199,5,7,2.75,2,1,1,0,-0.328532236,2.306693989,-1.730208333
8200,5.666666667,7,4.480208333,5,1,0,0,0.338134431,2.306693989,-3.33333E-10
8201,4,5.666666667,5,4,0,1,1,-1.328532236,0.973360656,0.519791667
8202,4,4.666666667,4.125,5,1,1,1,-1.328532236,-0.026639344,-0.355208333
8207,5.666666667,4.666666667,4.25,6,0,0,1,0.338134431,-0.026639344,-0.230208333
8203,5,3.666666667,2.5,5,1,0,0,-0.328532236,-1.026639344,-1.980208333
8205,6.333333333,4.666666667,4.5,4,0,1,1,1.004801097,-0.026639344,0.019791667
8206,5.666666667,4,4.125,4,1,1,1,0.338134431,-0.693306011,-0.355208333
8208,6.666666667,4.333333333,4.25,4,0,0,0,1.338134431,-0.359972678,-0.230208333
8209,6,4.666666667,5.375,2,0,0,1,0.671467764,-0.026639344,0.894791667
8210,5,5,4.25,3,0,1,1,-0.328532236,0.306693989,-0.230208333
8211,4.666666667,3,3.75,2,1,1,1,-0.661865569,-1.693306011,-0.730208333
8212,5,3,4.5,3,0,1,1,-0.328532236,-1.693306011,0.019791667
8213,4.666666667,3.333333333,3.625,4,0,0,1,-0.661865569,-1.359972678,-0.855208333
8214,7,2,6.125,7,0,0,0,1.671467764,-2.693306011,1.644791667
8215,6,3.666666667,4.375,5,1,1,1,0.671467764,-1.026639344,-0.105208333
8216,6.333333333,3.666666667,5,3,0,0,1,1.004801097,-1.026639344,0.519791667
8217,7,5,5.5,7,1,0,1,1.671467764,0.306693989,1.019791667
8219,4.333333333,3.666666667,4.375,4,1,1,0,-0.995198903,-1.026639344,-0.105208333
8220,6.666666667,5,6.625,5,0,1,0,1.338134431,0.306693989,2.144791667
8221,5.328532236,4.666666667,3,5,0,1,0,6.03508E-11,-0.026639344,-1.480208333
8222,6,5.333333333,4.75,6,1,0,1,0.671467764,0.640027322,0.269791667
8223,5.333333333,3.666666667,4.25,3,1,1,1,0.004801097,-1.026639344,-0.230208333
8224,4.666666667,6,6.375,1,0,1,0,-0.661865569,1.306693989,1.894791667
8225,4,2,5,7,0,0,0,-1.328532236,-2.693306011,0.519791667
8226,6,5.333333333,4.625,5,1,0,1,0.671467764,0.640027322,0.144791667
8228,4,6.666666667,5.25,4,1,1,0,-1.328532236,1.973360656,0.769791667
8227,6,2.333333333,2.875,4,0,1,1,0.671467764,-2.359972678,-1.605208333
8256,3.666666667,4,4,4,0,0,0,-1.661865569,-0.693306011,-0.480208333
8229,5.333333333,3.333333333,3.375,5,0,0,1,0.004801097,-1.359972678,-1.105208333
8230,6.333333333,5.333333333,5.5,5,1,1,0,1.004801097,0.640027322,1.019791667
8231,5.333333333,4.666666667,4.5,2,0,1,1,0.004801097,-0.026639344,0.019791667
8232,3.666666667,4.333333333,5.25,3,0,0,1,-1.661865569,-0.359972678,0.769791667
8233,7,5,4.75,5,0,0,0,1.671467764,0.306693989,0.269791667
8234,7,7,3,4,1,1,0,1.671467764,2.306693989,-1.480208333
8236,6.333333333,3,3.75,4,0,1,1,1.004801097,-1.693306011,-0.730208333
8237,5.666666667,3.666666667,4.75,3,1,0,1,0.338134431,-1.026639344,0.269791667
8274,3.666666667,4.666666667,5.375,4,1,1,1,-1.661865569,-0.026639344,0.894791667
8238,4.666666667,5,4.125,4,1,1,0,-0.661865569,0.306693989,-0.355208333
8239,6.333333333,5.666666667,5.75,4,0,0,0,1.004801097,0.973360656,1.269791667
8240,5.666666667,7,4.625,5,1,1,0,0.338134431,2.306693989,0.144791667
8241,4.666666667,4.333333333,4.480208333,6,1,0,1,-0.661865569,-0.359972678,-3.33333E-10
8243,3,6,4.875,7,1,0,0,-2.328532236,1.306693989,0.394791667
8244,4,4.666666667,3.5,6,1,1,1,-1.328532236,-0.026639344,-0.980208333
8245,4.333333333,3.333333333,4.625,3,1,1,1,-0.995198903,-1.359972678,0.144791667
8246,6.333333333,5.333333333,4.480208333,7,0,1,1,1.004801097,0.640027322,-3.33333E-10
8247,6.666666667,6,5.375,7,0,1,0,1.338134431,1.306693989,0.894791667
8248,7,6.333333333,6.875,5,1,0,1,1.671467764,1.640027322,2.394791667
8249,4.666666667,4.333333333,5.625,4,0,0,1,-0.661865569,-0.359972678,1.144791667
8250,5.666666667,2.333333333,4.125,4,1,1,1,0.338134431,-2.359972678,-0.355208333
8251,6.333333333,2.666666667,3.625,3,1,0,1,1.004801097,-2.026639344,-0.855208333
8252,4,6,3.875,4,1,1,0,-1.328532236,1.306693989,-0.605208333
8253,3,4.666666667,4.5,6,1,0,1,-2.328532236,-0.026639344,0.019791667
8254,6.666666667,4.333333333,1.375,3,1,1,1,1.338134431,-0.359972678,-3.105208333
8255,5,4.666666667,4.625,6,1,1,1,-0.328532236,-0.026639344,0.144791667
8257,5.333333333,5.666666667,5.5,6,1,0,1,0.004801097,0.973360656,1.019791667
8259,5.666666667,6.666666667,3.125,5,1,1,1,0.338134431,1.973360656,-1.355208333
8260,5.666666667,4.333333333,1.75,5,0,0,0,0.338134431,-0.359972678,-2.730208333
8261,5,5,5.375,4,0,1,1,-0.328532236,0.306693989,0.894791667
8262,3.666666667,4,4.375,5,1,1,1,-1.661865569,-0.693306011,-0.105208333
8263,6,3.333333333,4,5,0,1,1,0.671467764,-1.359972678,-0.480208333
8264,7,7,5.875,6,0,1,1,1.671467764,2.306693989,1.394791667
8265,3.333333333,6,4.125,4,1,1,0,-1.995198903,1.306693989,-0.355208333
8266,1.666666667,4,4.625,5,1,1,1,-3.661865569,-0.693306011,0.144791667
8267,5.666666667,6.333333333,4.480208333,3,0,1,0,0.338134431,1.640027322,-3.33333E-10
8268,6.666666667,5,4.125,5,0,1,0,1.338134431,0.306693989,-0.355208333
8269,6.333333333,6.333333333,4.5,4,1,0,0,1.004801097,1.640027322,0.019791667
8270,6.333333333,5,3.75,5,1,1,0,1.004801097,0.306693989,-0.730208333
8271,6,7,7,6,1,0,1,0.671467764,2.306693989,2.519791667
8272,5.666666667,1,4.125,4,1,0,1,0.338134431,-3.693306011,-0.355208333
8273,5.666666667,5,4.5,5,1,0,0,0.338134431,0.306693989,0.019791667
8275,6.333333333,6,6.125,5,0,1,0,1.004801097,1.306693989,1.644791667
8276,5.666666667,5,3.375,4,0,1,1,0.338134431,0.306693989,-1.105208333
8278,6.333333333,4.333333333,4.480208333,4,1,1,1,1.004801097,-0.359972678,-3.33333E-10
8279,5.666666667,3.666666667,4.25,6,0,1,1,0.338134431,-1.026639344,-0.230208333
8281,4,5.333333333,4.875,6,0,1,1,-1.328532236,0.640027322,0.394791667
8282,5.333333333,3.666666667,2.75,4,0,1,1,0.004801097,-1.026639344,-1.730208333
8283,4.666666667,3.666666667,3.375,4,1,0,1,-0.661865569,-1.026639344,-1.105208333
8284,4,6,4,4,0,1,0,-1.328532236,1.306693989,-0.480208333
8285,6,7,4,5,0,0,0,0.671467764,2.306693989,-0.480208333
8287,6.333333333,2.666666667,2.25,2,0,1,0,1.004801097,-2.026639344,-2.230208333
8288,6.333333333,3,5.5,3,1,1,1,1.004801097,-1.693306011,1.019791667
8289,7,6,4.480208333,4,0,1,1,1.671467764,1.306693989,-3.33333E-10
8290,6,6.666666667,4.125,2,0,1,1,0.671467764,1.973360656,-0.355208333
8291,7,7,4,5,0,1,1,1.671467764,2.306693989,-0.480208333
8292,6.333333333,6.333333333,5.75,5,1,1,0,1.004801097,1.640027322,1.269791667
8295,5.666666667,6,2.375,2,0,1,0,0.338134431,1.306693989,-2.105208333
8293,4.666666667,4,4,3,0,0,1,-0.661865569,-0.693306011,-0.480208333
8294,5.333333333,4.666666667,3.75,3,0,1,1,0.004801097,-0.026639344,-0.730208333
8296,6.666666667,5,4.125,4,1,1,1,1.338134431,0.306693989,-0.355208333
8297,6.666666667,6,5.875,3,0,1,1,1.338134431,1.306693989,1.394791667
8298,5,5,4.75,2,1,1,1,-0.328532236,0.306693989,0.269791667
8300,4.666666667,3.666666667,6.25,5,1,0,0,-0.661865569,-1.026639344,1.769791667
8301,4,5,4,2,1,0,1,-1.328532236,0.306693989,-0.480208333
